Statistic Label,MONTH,Type of Residential Property,UNIT,VALUE
Residential Property Price Index,2010 February,South Dublin - houses,Base,92.5
Residential Property Price Index,2010 February,National excluding Dublin - houses,Base,133
Residential Property Price Index,2010 February,Border - houses,Base,170
Residential Property Price Index,2010 February,Midland - houses,Base,157.3
Residential Property Price Index,2010 February,West - houses,Base,151.5
Residential Property Price Index,2010 February,Mid-East - houses,Base,112.7
Residential Property Price Index,2010 February,Mid-West - houses,Base,154.2
Residential Property Price Index,2010 February,South-East - houses,Base,139.5
Residential Property Price Index,2010 February,South-West - houses,Base,124.5
Residential Property Price Index,2010 March,National - houses,Base,110.2
Residential Property Price Index,2010 March,Dublin - houses,Base,90.6
Residential Property Price Index,2010 March,Dublin City - houses,Base,88.4
Residential Property Price Index,2010 March,Dun Laoghaire-Rathdown - houses,Base,90.6
Residential Property Price Index,2010 March,Fingal - houses,Base,94.7
Residential Property Price Index,2010 March,South Dublin - houses,Base,91.2
Residential Property Price Index,2010 March,National excluding Dublin - houses,Base,132.5
Residential Property Price Index,2010 March,Border - houses,Base,169.1
Residential Property Price Index,2010 March,Midland - houses,Base,155.5
Residential Property Price Index,2010 March,West - houses,Base,150.3
Residential Property Price Index,2010 March,Mid-East - houses,Base,112
Residential Property Price Index,2010 March,Mid-West - houses,Base,154.4
Residential Property Price Index,2010 March,South-East - houses,Base,137.5
Residential Property Price Index,2010 March,South-West - houses,Base,124.7
Residential Property Price Index,2010 April,National - houses,Base,109.3
Residential Property Price Index,2010 April,Dublin - houses,Base,90.1
Residential Property Price Index,2010 April,Dublin City - houses,Base,87.3
Residential Property Price Index,2010 April,Dun Laoghaire-Rathdown - houses,Base,89.2
Residential Property Price Index,2010 April,Fingal - houses,Base,93.2
Residential Property Price Index,2010 April,South Dublin - houses,Base,89.9
Residential Property Price Index,2010 April,National excluding Dublin - houses,Base,131.1
Residential Property Price Index,2010 April,Border - houses,Base,164.3
Residential Property Price Index,2010 April,Midland - houses,Base,153.7
Residential Property Price Index,2010 April,West - houses,Base,151.5
Residential Property Price Index,2010 April,Mid-East - houses,Base,111.4
Residential Property Price Index,2010 April,Mid-West - houses,Base,152.9
Residential Property Price Index,2010 April,South-East - houses,Base,
Residential Property Price Index,2010 April,South-West - houses,Base,
Residential Property Price Index,2010 May,National - houses,Base,
Residential Property Price Index,2010 May,Dublin - houses,Base,89.5
Residential Property Price Index,2010 May,Dublin City - houses,Base,85.4
Residential Property Price Index,2010 May,Dun Laoghaire-Rathdown - houses,Base,88.6
Residential Property Price Index,2010 May,Fingal - houses,Base,92.1
Residential Property Price Index,2010 May,South Dublin - houses,Base,89.4
Residential Property Price Index,2010 May,National excluding Dublin - houses,Base,128.4
Residential Property Price Index,2010 May,Border - houses,Base,159.8
Residential Property Price Index,2010 May,Midland - houses,Base,153.1
Residential Property Price Index,2010 May,West - houses,Base,146
Residential Property Price Index,2010 May,Mid-East - houses,Base,110
Residential Property Price Index,2010 May,Mid-West - houses,Base,152.7
Residential Property Price Index,2010 May,South-East - houses,Base,134.4
Residential Property Price Index,2010 May,South-West - houses,Base,121.3
Residential Property Price Index,2010 June,National - houses,Base,106.6
Residential Property Price Index,2010 June,Dublin - houses,Base,88.7
Residential Property Price Index,2010 June,Dublin City - houses,Base,84.3
