Statistic Label,MONTH,Type of Residential Property,UNIT,VALUE
Residential Property Price Index,2016 February,West - houses,Base,106.2
Residential Property Price Index,2016 February,Mid-East - houses,Base,103.1
Residential Property Price Index,2016 February,Mid-West - houses,Base,105
Residential Property Price Index,2016 February,South-East - houses,Base,105.1
Residential Property Price Index,2016 February,South-West - houses,Base,107
Residential Property Price Index,2016 March,National - houses,Base,103.6
Residential Property Price Index,2016 March,Dublin - houses,Base,102.7
Residential Property Price Index,2016 March,Dublin City - houses,Base,100.6
Residential Property Price Index,2016 March,Dun Laoghaire-Rathdown - houses,Base,103.8
Residential Property Price Index,2016 March,Fingal - houses,Base,
Residential Property Price Index,2016 March,South Dublin - houses,Base,98.8
Residential Property Price Index,2016 March,National excluding Dublin - houses,Base,104.6
Residential Property Price Index,2016 March,Border - houses,Base,105.5
Residential Property Price Index,2016 March,Midland - houses,Base,110
Residential Property Price Index,2016 March,West - houses,Base,104.5
Residential Property Price Index,2016 March,Mid-East - houses,Base,103.1
Residential Property Price Index,2016 March,Mid-West - houses,Base,104.5
Residential Property Price Index,2016 March,South-East - houses,Base,105.7
Residential Property Price Index,2016 March,South-West - houses,Base,107.9
Residential Property Price Index,2016 April,National - houses,Base,104.1
Residential Property Price Index,2016 April,Dublin - houses,Base,102.9
Residential Property Price Index,2016 April,Dublin City - houses,Base,101.2
Residential Property Price Index,2016 April,Dun Laoghaire-Rathdown - houses,Base,104.1
Residential Property Price Index,2016 April,Fingal - houses,Base,104.1
Residential Property Price Index,2016 April,South Dublin - houses,Base,99.2
Residential Property Price Index,2016 April,National excluding Dublin - houses,Base,105.2
Residential Property Price Index,2016 April,Border - houses,Base,106.7
Residential Property Price Index,2016 April,Midland - houses,Base,111.4
Residential Property Price Index,2016 April,West - houses,Base,107
Residential Property Price Index,2016 April,Mid-East - houses,Base,103.1
Residential Property Price Index,2016 April,Mid-West - houses,Base,104.8
Residential Property Price Index,2016 April,South-East - houses,Base,105.4
Residential Property Price Index,2016 April,South-West - houses,Base,107.1
Residential Property Price Index,2016 May,National - houses,Base,104.1
Residential Property Price Index,2016 May,Dublin - houses,Base,102.2
Residential Property Price Index,2016 May,Dublin City - houses,Base,101.3
Residential Property Price Index,2016 May,Dun Laoghaire-Rathdown - houses,Base,103.4
Residential Property Price Index,2016 May,Fingal - houses,Base,103.5
Residential Property Price Index,2016 May,South Dublin - houses,Base,99
Residential Property Price Index,2016 May,National excluding Dublin - houses,Base,
Residential Property Price Index,2016 May,Border - houses,Base,107.9
Residential Property Price Index,2016 May,Midland - houses,Base,
Residential Property Price Index,2016 May,West - houses,Base,107.4
Residential Property Price Index,2016 May,Mid-East - houses,Base,102.9
Residential Property Price Index,2016 May,Mid-West - houses,Base,104.3
Residential Property Price Index,2016 May,South-East - houses,Base,104.7
Residential Property Price Index,2016 May,South-West - houses,Base,108.4
Residential Property Price Index,2016 June,National - houses,Base,105
Residential Property Price Index,2016 June,Dublin - houses,Base,102.2
Residential Property Price Index,2016 June,Dublin City - houses,Base,101.1
Residential Property Price Index,2016 June,Dun Laoghaire-Rathdown - houses,Base,103.4
Residential Property Price Index,2016 June,Fingal - houses,Base,103.2
Residential Property Price Index,2016 June,South Dublin - houses,Base,99.6
Residential Property Price Index,2016 June,National excluding Dublin - houses,Base,107.6
Residential Property Price Index,2016 June,Border - houses,Base,108.6
Residential Property Price Index,2016 June,Midland - houses,Base,113.2
Residential Property Price Index,2016 June,West - houses,Base,110.2
Residential Property Price Index,2016 June,Mid-East - houses,Base,103.5
Residential Property Price Index,2016 June,Mid-West - houses,Base,106.6
Residential Property Price Index,2016 June,South-East - houses,Base,104.7
Residential Property Price Index,2016 June,South-West - houses,Base,108.9
Residential Property Price Index,2016 July,National - houses,Base,107.7
Residential Property Price Index,2016 July,Dublin - houses,Base,104
Residential Property Price Index,2016 July,Dublin City - houses,Base,102.5
Residential Property Price Index,2016 July,Dun Laoghaire-Rathdown - houses,Base,104.5
Residential Property Price Index,2016 July,Fingal - houses,Base,103.1
Residential Property Price Index,2016 July,South Dublin - houses,Base,
Residential Property Price Index,2016 July,National excluding Dublin - houses,Base,111.1
Residential Property Price Index,2016 July,Border - houses,Base,108.9
Residential Property Price Index,2016 July,Midland - houses,Base,115.4
Residential Property Price Index,2016 July,West - houses,Base,112.7
Residential Property Price Index,2016 July,Mid-East - houses,Base,105.2
Residential Property Price Index,2016 July,Mid-West - houses,Base,109.5
Residential Property Price Index,2016 July,South-East - houses,Base,107.7
Residential Property Price Index,2016 July,South-West - houses,Base,111.7
Residential Property Price Index,2016 August,National - houses,Base,109.3
Residential Property Price Index,2016 August,Dublin - houses,Base,105.6
Residential Property Price Index,2016 August,Dublin City - houses,Base,104.3
Residential Property Price Index,2016 August,Dun Laoghaire-Rathdown - houses,Base,106.4
Residential Property Price Index,2016 August,Fingal - houses,Base,102.3
Residential Property Price Index,2016 August,South Dublin - houses,Base,101.6
Residential Property Price Index,2016 August,National excluding Dublin - houses,Base,112.6
Residential Property Price Index,2016 August,Border - houses,Base,109.7
Residential Property Price Index,2016 August,Midland - houses,Base,116.3
Residential Property Price Index,2016 August,West - houses,Base,114.5
Residential Property Price Index,2016 August,Mid-East - houses,Base,106.4
Residential Property Price Index,2016 August,Mid-West - houses,Base,112
Residential Property Price Index,2016 August,South-East - houses,Base,111.2
Residential Property Price Index,2016 August,South-West - houses,Base,112.3
Residential Property Price Index,2016 September,National - houses,Base,110.6
Residential Property Price Index,2016 September,Dublin - houses,Base,107.2
Residential Property Price Index,2016 September,Dublin City - houses,Base,106
Residential Property Price Index,2016 September,Dun Laoghaire-Rathdown - houses,Base,108.2
Residential Property Price Index,2016 September,Fingal - houses,Base,102.2
Residential Property Price Index,2016 September,South Dublin - houses,Base,102.6
Residential Property Price Index,2016 September,National excluding Dublin - houses,Base,113.8
Residential Property Price Index,2016 September,Border - houses,Base,110.7
Residential Property Price Index,2016 September,Midland - houses,Base,119.1
Residential Property Price Index,2016 September,West - houses,Base,115.3
Residential Property Price Index,2016 September,Mid-East - houses,Base,107.7
Residential Property Price Index,2016 September,Mid-West - houses,Base,113
Residential Property Price Index,2016 September,South-East - houses,Base,112.8
Residential Property Price Index,2016 September,South-West - houses,Base,114.2
Residential Property Price Index,2016 October,National - houses,Base,111.2
Residential Property Price Index,2016 October,Dublin - houses,Base,107.4
Residential Property Price Index,2016 October,Dublin City - houses,Base,106.6
Residential Property Price Index,2016 October,Dun Laoghaire-Rathdown - houses,Base,109.3
Residential Property Price Index,2016 October,Fingal - houses,Base,102.3
Residential Property Price Index,2016 October,South Dublin - houses,Base,103
Residential Property Price Index,2016 October,National excluding Dublin - houses,Base,114.7
Residential Property Price Index,2016 October,Border - houses,Base,111.2
Residential Property Price Index,2016 October,Midland - houses,Base,121.6
Residential Property Price Index,2016 October,West - houses,Base,116.8
Residential Property Price Index,2016 October,Mid-East - houses,Base,109.7
Residential Property Price Index,2016 October,Mid-West - houses,Base,112.9
Residential Property Price Index,2016 October,South-East - houses,Base,115.3
Residential Property Price Index,2016 October,South-West - houses,Base,114.8
Residential Property Price Index,2016 November,National - houses,Base,112.6
Residential Property Price Index,2016 November,Dublin - houses,Base,108.4
Residential Property Price Index,2016 November,Dublin City - houses,Base,107.7
Residential Property Price Index,2016 November,Dun Laoghaire-Rathdown - houses,Base,110.6
Residential Property Price Index,2016 November,Fingal - houses,Base,102.9
Residential Property Price Index,2016 November,South Dublin - houses,Base,104.5
Residential Property Price Index,2016 November,National excluding Dublin - houses,Base,116.3
Residential Property Price Index,2016 November,Border - houses,Base,112.8
Residential Property Price Index,2016 November,Midland - houses,Base,121.6
Residential Property Price Index,2016 November,West - houses,Base,119
Residential Property Price Index,2016 November,Mid-East - houses,Base,111.5
Residential Property Price Index,2016 November,Mid-West - houses,Base,115.6
